ISO Code,Countries and areas,InternationalMigrantsByCountryOfDestination_Total(thousands),InternationalMigrantsByCountryOfDestination_AsPercentageOfTotalPopulationOfCountry/Area(%),InternationalMigrantsByCountryOfDestination_ShareOfUnder18AmongTotalInternationalMigrants(%),InternationalMigrantsByCountryOfOrigin_Total(thousands),InternationalMigrantsByCountryOfOrigin_AsPercentageOfTotalPopulationOfCountry/Area(%),RefugeesByCountryOfAsylumTotal(thousands),%Under18AmongTotalRefugeesByCountryOfAsylum,RefugeesByCountryOfOriginTotal(thousands),%Under18InTotalRefugeesByCountryOfOrigin,AylumSeekersByCountryOfAsylumTotal(thousands),AsylumSeekersByCountryOfOriginTotal(thousands),InternalDisplacedPersonsTotal(thousands),NumberOfKeyHumanRightsInstrumentsRatified
SDN,Sudan,503,1,46,"1,891",5,310,53,629,58,13,45,"3,182",3
SUR,Suriname,47,9,30,268,49,0,-,0,-,0,0,-,4
SWZ,Swaziland,32,2,20,96,7,1,36,0,0,0,0,-,4
SWE,Sweden,"1,640",17,9,333,3,170,-,0,0,157,0,-,4
CHE,Switzerland,"2,439",29,7,665,8,73,-,0,0,33,0,-,4
SYR,Syrian Arab Republic,875,5,19,"5,012",27,21,47,"4,873",49,5,246,"6,600",4
TJK,Tajikistan,275,3,6,590,7,2,0,1,0,0,1,-,5
THA,Thailand,"3,913",6,12,854,1,108,47,0,0,8,1,35,2
MKD,The former Yugoslav Republic of Macedonia,131,6,13,516,25,1,40,2,0,0,15,0,4
TLS,Timor-Leste,11,1,26,37,3,-,-,0,0,-,0,-,5
TGO,Togo,277,4,43,447,6,22,60,9,34,1,2,3,4
TON,Tonga,6,5,30,57,53,-,-,0,0,-,0,-,1
TTO,Trinidad and Tobago,50,4,18,363,27,0,13,0,-,0,0,-,4
TUN,Tunisia,57,1,19,651,6,1,32,2,0,0,2,-,4
TUR,Turkey,"2,965",4,24,"3,114",4,"2,541",0,60,21,212,12,954,5
TKM,Turkmenistan,196,4,8,243,5,0,-,0,0,-,1,-,4
TUV,Tuvalu,0,1,23,3,35,-,-,0,-,-,0,-,2
UGA,Uganda,749,2,37,736,2,477,57,6,0,36,6,30,3
UKR,Ukraine,"4,835",11,6,"5,826",13,3,-,321,0,7,23,"1,679",4
ARE,United Arab Emirates,"8,095",88,13,137,1,1,31,0,43,0,0,-,2
GBR,United Kingdom of Great Britain and Northern Ireland,"8,543",13,9,"4,917",8,123,-,0,0,46,0,-,4
TZA,United Republic of Tanzania,261,0,31,295,1,212,57,6,0,2,2,-,4
USA,United States of America,"46,627",14,8,"3,024",1,273,-,5,0,286,0,-,3
URY,Uruguay,72,2,19,347,10,0,23,0,0,0,0,-,5
UZB,Uzbekistan,"1,171",4,8,"1,991",7,0,36,4,0,-,3,-,2
VUT,Vanuatu,3,1,24,9,3,-,-,0,-,0,0,-,1
VEN,Venezuela (Bolivarian Republic of),"1,404",5,12,606,2,174,36,7,0,0,15,-,4
VNM,Viet Nam,73,0,15,"2,559",3,-,-,313,0,-,4,-,2
YEM,Yemen,344,1,30,"1,013",4,267,26,16,40,10,10,"2,509",2
ZMB,Zambia,128,1,18,238,1,26,45,0,0,2,0,-,4
ZWE,Zimbabwe,399,3,13,856,5,7,52,21,0,0,57,-,3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
